month,open,high,low,close,volume,unadjustedVolume,changePercent,vwap,changeOverTime,marketCap,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation,company_name,ticker,employee_category_label,layoff
2020-01,67.08,68.41,67.08,68.37,28134620,28134620,1.92,67.735,0.0192,939495623182.0,60.94416666666665,62.26862860856648,63.16,66.75807201039142,68.23766263783065,-14.429109159347568,73.66893220971042,35.21141944047192,4.904517404620174,Google,GOOG,4.0,0
2020-02,73.1,74.5,72.95,74.3,61104319,61104319,1.64,73.7125,0.0164,1017752601878.0,61.85833333333332,62.99191651494087,64.08705128205128,67.4026891603403,68.58808289735194,-38.01261829652997,62.97881504724512,35.39293955058813,4.920103036409794,Google,GOOG,4.0,0
2020-03,67.58,69.54,66.34,69.46,48630000,48630000,2.78,68.23,0.0278,951714695294.0,61.81416666666666,62.24546782033458,63.515,65.34604962485186,65.24045207542294,-71.23023524874662,48.63619218847013,32.76911042646423,4.95080878633874,Google,GOOG,4.0,0
2020-04,56.1,56.48,54.87,55.28,46884000,46884000,-1.46,55.6825,-0.0146,751444388974.0,62.48166666666666,63.04308815566772,64.37897435897435,66.3415668893873,66.41966636458018,-35.40300809872731,59.27977481520382,30.36393372935065,5.120099011629452,Google,GOOG,4.0,0
2020-05,66.43,67.6,65.55,66.03,41452780,41452780,-0.60214,66.4025,-0.0060214,898160803879.0,63.8375,64.33645920864191,65.75871794871796,68.22187056661356,68.78459003537463,-19.899730042421893,62.90811826868997,28.384118793873373,5.161090202983604,Google,GOOG,4.0,0
2020-06,70.92,71.9,70.9,71.59,24342800,24342800,0.94473,71.3275,0.0094473,978200335058.0,65.22333333333333,65.31238856115854,66.81141025641026,69.42583070080246,70.0949270665538,-22.869263401465457,61.75825430530433,26.923581140006547,4.542580641979721,Google,GOOG,4.0,0
2020-07,70.56,72.15,70.49,71.9,35504000,35504000,1.9,71.275,0.019,979765066064.0,66.33333333333333,66.67202109021108,68.1847435897436,71.30308427141577,72.3072297699106,-18.137425880711508,64.91132726592619,26.595524291177515,4.943170934621714,Google,GOOG,4.0,0
2020-08,74.33,74.52,73.28,73.72,46630280,46630280,-0.82066,73.9625,-0.0082066,1007486574174.0,68.19166666666668,68.98555630710167,70.55038461538462,74.86175495164385,76.76499268857887,-3.872366790582405,70.66077168000292,26.859881730586043,6.057280513747255,Google,GOOG,4.0,0
2020-09,81.83,83.29,81.61,83.04,36533100,36533100,1.48,82.4425,0.0148,1124487645171.0,69.23583333333333,69.67700918293218,71.36397435897435,75.23425277709367,76.57479966571657,-36.6314619232907,59.150535834384,27.626753718459423,5.793164734313094,Google,GOOG,4.0,0
2020-10,74.21,74.95,73.96,74.5,35590000,35590000,0.39078,74.405,0.0039078,1005265563573.0,70.73916666666668,71.42670007786569,73.18153846153847,77.60949079940761,79.27310881294889,-15.591995553085049,64.88943131657769,28.329719707343354,6.300942334727048,Google,GOOG,4.0,0
2020-11,81.41,83.04,80.8,81.3,50708920,50708920,-0.13512,81.6375,-0.0013512,1097414906901.0,72.63833333333334,73.98259237357867,75.84320512820513,81.3768626189482,83.80963745826034,-7.110890104425656,69.24221307085462,29.82036545958718,7.650317894629536,Google,GOOG,4.0,0
2020-12,88.72,91.24,88.47,89.91,34780900,34780900,1.34,89.585,0.0134,1212939376908.0,74.36666666666669,76.07603970072041,78.14346153846155,84.10410841592225,86.69890121596757,-11.444337811900182,68.64454649646035,31.353450708323155,8.448521895705912,Google,GOOG,4.0,0
2021-01,87.88,88.03,85.39,86.41,38038000,38038000,-1.67,86.9275,-0.0167,1162111841047.0,76.04,78.49357205445574,80.82397435897437,87.33215757432565,90.21357339369848,-10.746851932262242,71.17759540640857,33.2269537737031,9.65852128088629,Google,GOOG,4.0,0
2021-02,92.68,96.12,92.55,95.07,32044000,32044000,2.58,94.105,0.0258,1274404886515.0,78.94583333333335,82.08533019992409,84.79320512820514,92.60331330136415,96.46246310216208,-10.166812993854244,76.1971461727737,35.819012175114146,11.552391857917948,Google,GOOG,4.0,0
2021-03,102.83,104.33,102.31,104.08,28102300,28102300,1.22,103.3875,0.0122,1393295485014.0,82.72000000000001,85.36912555378191,88.56,97.04755347749553,101.29490277394058,-7.829977628635326,76.89172538924774,38.19506570974094,11.53672686105841,Google,GOOG,4.0,0
2021-04,104.9,107.15,104.84,106.89,33980000,33980000,1.9,105.945,0.019,1424746107223.0,87.14333333333333,90.77541393012316,94.37384615384616,105.23171233786188,111.17612907518284,-3.658748049245707,82.78017326035354,41.2254236561668,14.596410137047016,Google,GOOG,4.0,0
2021-05,120.14,120.99,119.23,119.76,33788000,33788000,-0.3163,120.03,-0.003163,1567367888639.0,91.2375,95.36073486395036,99.51794871794873,111.47287430681384,117.90386165272945,-3.690971593993135,82.79976921039531,44.00325177372385,16.399303402380642,Google,GOOG,4.0,0
2021-06,121.1,121.9,120.24,121.49,19166000,19166000,0.32205,121.1825,0.0032205,1592922072739.0,95.79083333333334,99.96985257718876,104.76141025641026,117.50322401696728,124.14740961474706,-4.31529493648861,84.13355486765066,46.7753275360026,17.6007994412817,Google,GOOG,4.0,0
2021-07,124.85,126.46,124.85,126.37,17124600,17124600,1.22,125.6325,0.0122,1630307456739.0,100.88,105.3929521806982,110.82743589743588,124.81765844809566,132.04002188497148,-6.874282433983916,86.51596745321652,49.69649402309482,19.34984022328522,Google,GOOG,4.0,0
2021-08,135.48,136.02,134.67,135.99,20140040,20140040,0.37644,135.54,0.0037644,1795548517978.0,106.1925,111.5571133836677,117.68589743589745,133.20923201243977,141.2051961494209,-1.3524159663865558,88.46956982373358,52.53182736454454,21.935913142986927,Google,GOOG,4.0,0
2021-09,145.65,146.82,145.61,145.84,15824680,15824680,0.13045,145.98,0.0013045,1933626665041.0,111.175,114.89755747848804,121.85166666666667,136.045110552297,142.3839862755431,-18.0618501732871,74.45981203648054,54.82075313783579,20.69498953047976,Google,GOOG,4.0,0
2021-10,133.55,137.07,133.38,136.46,28388000,28388000,2.18,135.115,0.0218,1809599306075.0,116.77666666666664,120.0317794048745,127.55858974358976,142.27020440503986,148.55691395470348,-1.2441451990632233,78.93723572825294,56.987762090337405,20.87935676425136,Google,GOOG,4.0,0
2021-11,148.17,148.4,143.58,143.77,32272100,32272100,-2.97,145.98,-0.0297,1901841954166.0,121.31083333333332,123.48073641950918,131.50833333333333,145.21621350895538,150.1101656649853,-14.050822122571011,73.48443356342011,59.05529155416658,20.037445137514133,Google,GOOG,4.0,0
2021-12,144.21,146.5,141.5,141.62,28545780,28545780,-1.8,143.4575,-0.018,1869371481777.0,126.06833333333331,126.74216158573854,135.10358974358974,147.89338657131017,151.5400558462108,-10.71748878923765,74.2285603635598,60.41120127937697,18.15536689858462,Google,GOOG,4.0,0
2022-01,144.48,145.55,143.5,145.07,25224500,25224500,0.40836,144.65,0.0040836,1914302970000.0,129.7275,128.12029057254802,136.5853846153846,147.1835900876397,148.5025271529188,-27.234401349072524,66.08175000057537,58.00348054855066,15.03467942513796,Google,GOOG,4.0,0
