month,open,high,low,close,volume,unadjustedVolume,changePercent,vwap,changeOverTime,marketCap,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation,company_name,ticker,employee_category_label,layoff
2020-01,158.78,160.73,158.33,160.62,22634546,22634546,1.16,159.615,0.0116,1221033240000.0,137.8375,140.27784739033928,145.90641025641025,159.00207137771005,163.3240143856681,-5.327754532775482,86.10674954005286,61.38701113281508,15.788891730686268,Microsoft,MSFT,4.0,0
2020-02,170.43,174.5,170.4,174.38,30149052,30149052,2.32,172.4275,0.0232,1325636760000.0,142.0025,143.62125548413323,149.6252564102564,162.29386724511878,165.90722406029582,-35.030525030525034,76.18922641594645,63.14888318078453,15.004402756635574,Microsoft,MSFT,4.0,0
2020-03,165.31,172.92,162.31,172.79,71030810,71030810,4.52,168.3325,0.0452,1313549580000.0,145.31666666666666,145.78875464042042,152.0417948717949,163.42269464734352,165.60127431444053,-45.44077134986224,71.49030303737291,61.31649476007653,13.65498220024064,Microsoft,MSFT,4.0,0
2020-04,153.0,157.75,150.82,152.11,57969926,57969926,-0.5817,153.42,-0.005817,1152993800000.0,149.3675,150.93048469574038,157.25615384615384,170.20220551763833,173.43143361785295,-16.02733993583482,78.66688487518294,59.95131752574708,15.739465326052214,Microsoft,MSFT,4.0,0
2020-05,175.8,178.64,174.01,174.57,39370474,39370474,-0.69966,175.755,-0.0069966,1323240600000.0,154.33166666666668,155.90271781947263,162.46884615384616,176.41683269654436,180.20051298187303,-10.391965406611789,79.71367561562319,59.08701664870933,16.2409717655345,Microsoft,MSFT,4.0,0
2020-06,182.54,183.0,181.46,182.83,22668821,22668821,0.15887,182.4575,0.0015887,1385851400000.0,160.12749999999997,163.22691507801528,170.03474358974358,186.78240996199668,192.557460978506,-1.208910622113576,84.00691011203214,59.04851635295474,19.9282743545446,Microsoft,MSFT,4.0,0
2020-07,203.14,206.35,201.77,204.7,32061206,32061206,0.76794,203.99,0.0076794,1548760200000.0,165.85583333333332,169.65508198908984,176.9397435897436,195.02587273875253,201.4484739467601,-13.282710280373838,84.27568784117955,59.43350314776442,22.017277858662624,Microsoft,MSFT,4.0,0
2020-08,211.52,217.64,210.44,216.54,78983009,78983009,2.37,214.035,0.0237,1638341640000.0,173.16166666666666,178.25122322153754,186.1203846153846,206.9924733602464,215.27890925006096,-5.698063469532602,87.42864256922527,60.21285472207629,25.74532864855724,Microsoft,MSFT,4.0,0
2020-09,225.51,227.45,224.43,227.27,25791235,25791235,0.78045,226.165,0.0078045,1719524820000.0,179.10333333333335,183.1864196489933,191.8385897435897,211.681874435748,218.48549335239912,-22.453657564281443,75.23772183872974,59.98650097628863,25.407900455479503,Microsoft,MSFT,4.0,0
2020-10,213.49,213.99,211.32,212.46,27158418,27158418,-0.48246,212.815,-0.0048246,1605135300000.0,184.0283333333333,186.15312431837896,195.4334615384616,212.7749515504977,216.946482702972,-30.28702411799882,69.7511430538176,59.77901004264993,23.672768051544423,Microsoft,MSFT,4.0,0
2020-11,204.29,205.28,200.12,202.33,30842163,30842163,-0.95942,203.005,-0.0095942,1528603150000.0,189.2525,190.4480282693976,200.0552564102564,216.6083392705138,219.74758266560536,-18.72633047638033,72.92939255972067,59.70401125559647,22.792331358375783,Microsoft,MSFT,4.0,0
2020-12,214.51,217.32,213.35,216.21,30931318,30931318,0.7925,215.3475,0.007925,1633466550000.0,194.64583333333337,195.3667931510288,205.1579487179488,221.66447274412263,224.436990579335,-10.404624277456673,74.99269529150413,59.63526236746413,22.34082714759883,Microsoft,MSFT,4.0,0
2021-01,222.53,223.0,214.81,217.69,37130139,37130139,-2.17,219.5075,-0.0217,1641164910000.0,199.79,200.99651728163968,210.89858974358967,228.01201274015915,230.96537202531445,-9.698510715582982,77.16224142662082,60.156726790389634,23.216401171011267,Microsoft,MSFT,4.0,0
2021-02,235.06,242.5,232.43,239.65,33314193,33314193,1.95,237.41,0.0195,1806721350000.0,205.65416666666667,205.82474539215667,215.91243589743587,232.7694345659568,235.2085178740177,-12.102807851421533,77.2570045018353,60.74931086511975,21.775624161867064,Microsoft,MSFT,4.0,0
2021-03,235.9,237.47,233.15,236.94,25332837,25332837,0.44086,235.865,0.0044086,1786290660000.0,212.15916666666664,210.4317076395172,220.54564102564103,237.1292588420377,238.98398181931444,-10.81758379450766,78.0586600154921,60.68443834047551,17.77327978470928,Microsoft,MSFT,4.0,0
2021-04,238.47,242.84,238.05,242.35,30337982,30337982,1.63,240.4275,0.0163,1824168450000.0,218.24,216.85452184882223,226.7026923076924,244.87944642805925,247.57198949682265,-12.3168139612932,81.50188256944148,61.37699655814989,17.941977780241142,Microsoft,MSFT,4.0,0
2021-05,253.4,254.35,251.12,251.86,19626568,19626568,-0.60773,252.6825,-0.0060773,1895750220000.0,223.77583333333337,221.9045954105419,231.5396153846154,249.8911322990437,252.13695608045225,-16.507820136852384,79.43027261567448,62.01184159101808,16.480804216994056,Microsoft,MSFT,4.0,0
2021-06,251.23,251.29,246.96,247.4,23213310,23213310,-1.52,249.22,-0.0152,1862179800000.0,229.39166666666665,229.44234996276623,238.7894871794872,259.5013657972268,263.1553142588453,-0.994694960212202,83.34921583975478,63.04157192705215,19.771475595468896,Microsoft,MSFT,4.0,0
2021-07,269.61,271.84,269.6,271.6,16725323,16725323,0.7381,270.6625,0.007381,2040530800000.0,236.05000000000004,237.9758345838791,247.3307692307692,270.63102727705666,275.91959485580213,-5.580404685835946,85.35836153537045,64.3447113345439,23.53499840662837,Microsoft,MSFT,4.0,0
