company,total_laid_off
 E Inc.,
 F-Secure ,70.0
 Included Health,
#Paid,19.0
&Open,9.0
100 Thieves,12.0
10X Genomics,100.0
123Milhas,
1K Kirana,600.0
1stdibs,70.0
23andMe,73.0
2TM,95.0
2U,
54gene,95.0
5B Solar,
6sense,150.0
7Shifts,68.0
7shifts,30.0
80 Acres Farms,
888,
8x8,177.5
98point6,
99,75.0
ABBYY,200.0
ABL,
AEye,46.0
ALI Technologies,
AU10TIX,19.0
Aakash,80.0
Abra,12.0
Absci,35.0
Absolute Software,40.0
Acast,70.0
Accolade,
Acko,45.0
Acorns,50.0
Acronis,
Actifio,54.0
ActiveCampaign,
Actyv.ai,
Acxiom,
AdRoll,210.0
Ada,78.0
Ada Health,50.0
Ada Support,36.0
Adaptive Biotechnologies,100.0
Adara,
Adda247,300.0
Addepar,20.0
Addi,
Adobe,100.0
Advata,32.0
Adwerx,40.0
Affirm,280.0
Afterverse,60.0
AgentSync,67.0
Agility Robotics,
Agoda,1500.0
Ahead,44.0
Air,
AirMap,
Airbnb,965.0
Airbyte,
Airlift,
Airmeet,75.0
Airtable,245.5
Airtame,15.0
Airtasker,45.0
Airtime,30.0
Airy Rooms,
Aiven,
Ajaib,67.0
Akamai,290.0
Akerna,
Akili Interactive,
Akili Labs,46.0
Akseleran,60.0
Akudo,
Akulaku,100.0
AlayaCare,80.0
Albert,20.0
Alegion,
Aleph Farms,30.0
Alerzo,250.0
AliExpress Russia,400.0
Alibaba Cloud,
Alice,88.0
Allbirds,23.0
AllyO,
Alma,
Almanac,
Alteryx,320.0
Alto Pharmacy,47.0
Amazon,3480.0
Amber Group,
Ambev Tech,50.0
Amdocs,1350.0
American Robotics,50.0
Amobee,
Amount,130.0
Amperity,16.5
Amplero,17.0
Amplitude,99.0
Anagram,17.0
Analog Devices,111.0
Anaplan,300.0
Anar,
Ancestry,81.0
Anchorage Digital,75.0
Andela,135.0
Andgo,9.0
AngelList,20.0
Ankorstore,
Anodot,25.0
AnswerLab,
Antidote Health,23.0
Anyline,
Anyvision,
Anywell,11.0
Apartment List,29.0
Apeel Sciences,
Apollo,
Apollo Insurance,
App Annie,80.0
AppFolio,105.5
AppGate,130.0
AppHarvest,
AppLovin,180.5
Appcues,
Appgate,34.0
Apple,357.0
ApplyBoard,90.0
Appsmith,35.0
Aptiv,250.0
Aqgromalin,80.0
Aqua Security,46.333333333333336
Arc,13.0
Arch Oncology,
Archipelago,40.0
Arete,
Argo AI,170.5
Argyle,20.0
Arive,
Arkane Studios,96.0
Arm Holdings,70.0
Armis,25.0
Arrival,800.0
Arrive Logistics,75.0
Article,216.0
Articulate,38.0
Artifact,
Artnight,26.0
Artsy,35.0
Asana,180.0
AskNicely,
Aspiration,170.0
Aspire,23.0
Assurance,112.0
Assure,
Astra,40.0
Astrate Medical,
Astronomer,88.0
At-Bay,27.0
Athennian,30.0
Atlanta Tech Village,
Atlas,150.0
Atlas Obscura ,15.0
Atlassian,500.0
Atmosphere,100.0
AtoB,32.0
Atome,
Atsu,6.0
Attentive,
Auctane,
Audible,100.0
AudioCodes,80.0
Augury,45.0
Aura,70.0
Aura Financial,
Aurora,
Aurora Solar,111.0
Autobooks,
Autodesk,250.0
Autograph,30.0
Automatic,
Automation Anywhere,260.0
Automox,
Ava Labs,
Avalara,
AvantStay,87.0
Avantage Entertainment,5.0
Avast,
Avaya,
Avidbots,50.0
Avo,500.0
Avocargo,16.0
Aware,
Away,41.0
Awok,
Axios Media,50.0
Aya,5.0
Ayoconnect,
Azibo,
B8ta,250.0
BM Technologies,
BUX,
BVAccel,25.0
Babylon,100.0
Babylon Health,94.0
Back Market,93.0
Bakkt,28.0
Bally's Interactive,
Balto,32.5
Bamboo Health,52.0
Bandcamp,58.0
Banxa,70.0
Baraja,
Bardee,30.0
Bark,126.0
Basis Technologies,40.0
Baton,16.0
Bcredi,
BeReal,
Beam Benefits,52.5
Beamery,
Beat,
BeeTech,30.0
BeepKart,130.0
Belora Paris,
Bench,47.0
BenchSci,70.0
Benchling,74.0
Benevity,137.0
BenevolentAI,180.0
Benitago Group,
Berkeley Lights,
Berlin Brands Group,100.0
Bestow,41.0
Better Therapeutics,
Better.com,1950.0
BetterCloud,
BetterUp,100.0
Betterfly,30.0
Betterment,28.0
Bevi,30.0
Beyond Meat,126.25
BeyondMinds,65.0
BharatAgri,40.0
Big Cabal Media,
Big Fish Games,250.0
BigBear.ai,
BigCommerce,180.0
BigPanda,40.0
Bikayi,
Bilibili,
Bill.com,
BillGO,80.0
Binance,1000.0
Binance.US,100.0
BioMarin,120.0
Biofourmis,120.0
Bird,272.0
Bishop Fox,50.0
BitGo,
BitMEX,75.0
BitOasis,9.0
BitSight,40.0
BitTitan,70.0
BitTorrent,92.0
Bitfarms,
Bitfront,
Bitpanda,270.0
Bitrise,
Bitso,90.0
Bittrex,80.0
Bitwise,900.0
Bizongo,95.0
Bizpay,
Bizzabo,110.0
Black Shark,900.0
BlackBuck,200.0
BlackLine,95.0
Blackbaud,500.0
Bleacher Report,20.0
Blend,202.0
BlissClub,21.0
Block,1000.0
BlockFi,250.0
Blockchain.com,130.0
BloomTech,88.0
Blue Apron,
Blue Nile,119.0
Blue Origin,40.0
BlueStacks,60.0
Blueboard,
Blueground,130.0
Bluelearn,
Bluepad,
Bluevine,
Blume Global,30.0
Bluprint,137.0
Bol.com,300.0
Bolt,102.33333333333333
Bolt.Earth,70.0
Bond,
Bonsai,29.5
Bonterra ,140.0
Bonusly,
BookClub,12.0
BookMyShow,270.0
Booking.com,2300.5
Booksy,200.0
Booktopia,30.0
Boost,15.0
Boosted Commerce,
Boozt,70.0
Borrowell,15.0
Bossa Nova,61.0
Bounce,122.5
BounceX,77.0
Bowery Farming,
Boxed,32.0
Braid,
Brainbase,
Brainly,25.0
Branch,91.33333333333333
Branch Metrics,100.0
Branch.io,100.0
Brave,27.0
Brave Care,40.0
Breathe,50.0
Breather,120.0
Brex,160.0
Bridge Connector,154.0
Bridgit,13.0
Bright Machines,30.0
Bright Money,100.0
Brightcove,70.0
Brighte,44.0
Brightline,
Brilliant,
Bringg,10.0
Britishvolt,206.0
Briza,26.0
Brodmann17,
Bryter,100.0
Buenbit,80.0
Builder,39.0
Buildertrend,
Built In,39.0
Built Technologies,
Built Technologies copy,
Bukalapak,
Bullhorn,120.0
Bullish,30.0
Bumble,350.0
Bundle Africa,
Bungalow,70.0
Bungie,220.0
Bunnii,
BusBud,23.0
Buser,160.0
Business Insider,
Bustle Digital Group,21.5
Butler Hospitality,1000.0
Butterfly Network,
Butterfly Network copy,
Button,48.0
Buy.com / Rakuten,87.0
BuzzFeed,180.0
Buzzer,
Bybit,600.0
Byju's,1375.0
Bytedance,1040.0
Byton,
C2FO,38.666666666666664
C3.ai,
C6 Bank,60.0
CNET,12.0
CS Disco,62.0
CTO.ai,30.0
Cabify,29.0
Cabin,
Cadre,28.0
Cake Bikes,
Cake Group,50.0
Calendly,60.0
Calibrate,156.0
Caliva,37.0
Callisto Media,140.0
Calm,90.0
Cambricon,
Cameo,82.33333333333333
Camp K12,
Cana,
Candidate Labs,
Candor Technology,
Candy Digital,31.5
Canoo,58.0
Capillary,
Capital One,1100.0
Capiter,
Capitolis,37.0
Capsule,
Captain Fresh ,120.0
Captiv8,8.0
CaptivateIQ,31.0
CarDekho,200.0
CarGurus,130.0
CarTrawler,40.0
Carbon,
Carbon Health,155.0
Cardlytics,51.0
Care.com,81.0
Care/of,143.0
CareRev,100.0
Careem,536.0
Career Karma,41.0
CareerArc,
Caribou,
Carousell,110.0
Cars24,350.0
Carsome,
Cart.com,25.0
Carta,161.0
Carvana,2000.0
Carwow,70.0
Casavo,
Cashfree Payments,100.0
Casper,78.0
Castlight Health,
Catalant,30.0
Catalyst,
Catch,
Catch.com.au,100.0
