Company,Year,Quarter,Total_Laid_Off
 E Inc.,2022,2022Q4,0
 F-Secure ,2023,2023Q4,70
 Included Health,2022,2022Q3,0
#Paid,2023,2023Q1,19
&Open,2022,2022Q4,9
100 Thieves,2022,2022Q3,12
100 Thieves,2023,2023Q1,0
10X Genomics,2022,2022Q3,100
123Milhas,2023,2023Q3,0
1K Kirana,2023,2023Q2,600
1stdibs,2020,2020Q2,70
23andMe,2023,2023Q2,75
23andMe,2023,2023Q3,71
2TM,2022,2022Q2,90
2TM,2022,2022Q3,100
2U,2022,2022Q3,0
2U,2023,2023Q3,0
2U,2024,2024Q1,0
54gene,2022,2022Q3,95
5B Solar,2022,2022Q2,0
6sense,2022,2022Q4,150
7Shifts,2024,2024Q1,68
7shifts,2023,2023Q3,30
80 Acres Farms,2023,2023Q1,0
888,2024,2024Q1,0
8x8,2022,2022Q4,200
8x8,2023,2023Q1,155
98point6,2022,2022Q3,0
98point6,2024,2024Q2,0
99,2022,2022Q3,75
ABBYY,2024,2024Q4,200
ABL,2024,2024Q3,0
AEye,2023,2023Q1,46
ALI Technologies,2024,2024Q1,0
AU10TIX,2023,2023Q1,19
Aakash,2024,2024Q3,80
Abra,2022,2022Q2,12
Absci,2022,2022Q3,40
Absci,2023,2023Q3,30
Absolute Software,2023,2023Q2,40
Acast,2022,2022Q3,70
Accolade,2023,2023Q1,0
Acko,2020,2020Q2,45
Acorns,2020,2020Q2,50
Acronis,2023,2023Q4,0
Actifio,2020,2020Q4,54
ActiveCampaign,2022,2022Q4,0
Actyv.ai,2023,2023Q3,0
Acxiom,2023,2023Q2,0
AdRoll,2020,2020Q1,210
Ada,2022,2022Q3,78
Ada,2023,2023Q1,0
Ada Health,2022,2022Q4,50
Ada Support,2020,2020Q2,36
Adaptive Biotechnologies,2022,2022Q1,100
Adara,2020,2020Q1,0
Adda247,2023,2023Q4,300
Addepar,2023,2023Q1,20
Addi,2022,2022Q2,0
Adobe,2022,2022Q4,100
Advata,2022,2022Q4,32
Adwerx,2022,2022Q3,40
Affirm,2022,2022Q4,0
Affirm,2023,2023Q1,500
Affirm,2024,2024Q1,60
Afterverse,2022,2022Q2,60
AgentSync,2023,2023Q3,67
Agility Robotics,2024,2024Q2,0
Agoda,2020,2020Q2,1500
Ahead,2022,2022Q2,44
Air,2020,2020Q3,0
AirMap,2020,2020Q2,0
Airbnb,2020,2020Q2,1900
Airbnb,2023,2023Q1,30
Airbyte,2023,2023Q1,0
Airlift,2022,2022Q2,0
Airlift,2022,2022Q3,0
Airmeet,2023,2023Q2,75
Airmeet,2024,2024Q1,0
Airtable,2022,2022Q4,254
Airtable,2023,2023Q3,237
Airtame,2022,2022Q2,15
Airtasker,2022,2022Q3,0
Airtasker,2023,2023Q2,45
Airtime,2022,2022Q2,30
Airy Rooms,2020,2020Q2,0
Aiven,2023,2023Q1,0
Ajaib,2022,2022Q4,67
Akamai,2023,2023Q2,290
Akerna,2020,2020Q3,0
Akerna,2022,2022Q2,0
Akili Interactive,2024,2024Q2,0
Akili Labs,2023,2023Q1,46
Akili Labs,2023,2023Q3,0
Akseleran,2023,2023Q3,60
Akudo,2023,2023Q3,0
Akulaku,2020,2020Q2,100
AlayaCare,2022,2022Q3,80
Albert,2022,2022Q2,20
Alegion,2020,2020Q2,0
Aleph Farms,2024,2024Q2,30
Alerzo,2022,2022Q3,0
Alerzo,2023,2023Q1,400
Alerzo,2023,2023Q4,100
AliExpress Russia,2022,2022Q2,400
Alibaba Cloud,2023,2023Q2,0
Alice,2022,2022Q3,63
Alice,2022,2022Q4,113
Allbirds,2022,2022Q3,23
AllyO,2020,2020Q2,0
Alma,2024,2024Q4,0
Almanac,2022,2022Q3,0
Alteryx,2023,2023Q2,320
Alto Pharmacy,2020,2020Q3,47
Alto Pharmacy,2022,2022Q3,0
Amazon,2022,2022Q4,10150
Amazon,2023,2023Q1,17000
Amazon,2023,2023Q3,80
Amazon,2023,2023Q4,180
Amazon,2024,2024Q1,430
Amazon,2024,2024Q2,0
Amber Group,2022,2022Q3,0
Ambev Tech,2023,2023Q1,50
Amdocs,2023,2023Q1,700
Amdocs,2023,2023Q3,2000
American Robotics,2023,2023Q1,50
Amobee,2022,2022Q4,0
Amount,2022,2022Q2,0
Amount,2023,2023Q1,130
Amperity,2022,2022Q3,13
Amperity,2024,2024Q1,20
Amperity,2024,2024Q3,0
Amplero,2020,2020Q1,17
Amplitude,2023,2023Q2,99
Anagram,2020,2020Q2,17
Analog Devices,2023,2023Q4,111
Anaplan,2023,2023Q2,300
Anar,2023,2023Q4,0
Ancestry,2024,2024Q1,81
Anchorage Digital,2023,2023Q1,75
Andela,2020,2020Q2,135
Andgo,2023,2023Q3,9
AngelList,2020,2020Q1,20
Ankorstore,2023,2023Q1,0
Anodot,2022,2022Q3,50
AnswerLab,2023,2023Q1,0
Antidote Health,2022,2022Q4,23
Anyline,2023,2023Q1,0
Anyvision,2020,2020Q1,0
Anywell,2022,2022Q3,11
Apartment List,2022,2022Q3,29
Apeel Sciences,2022,2022Q3,0
Apollo,2022,2022Q4,0
