country,total_laid_off
Argentina,323.0
Australia,3623.0
Austria,910.0
Bahrain,0.0
Belgium,50.0
Brazil,11323.0
Bulgaria,120.0
Canada,12562.0
Cayman Islands,1060.0
Chile,525.0
China,8190.0
Colombia,130.0
Cyprus,200.0
Czech Republic,316.0
Denmark,319.0
Egypt,0.0
Estonia,582.0
Finland,320.0
France,1976.0
Germany,28153.0
Ghana,150.0
Greece,0.0
Hong Kong,730.0
Hungary,0.0
India,55889.0
Indonesia,5211.0
Ireland,862.0
Israel,6973.0
Italy,0.0
Japan,4165.0
Kenya,2048.0
Lithuania,60.0
Luxembourg,45.0
Malaysia,100.0
Mexico,270.0
Myanmar,200.0
Netherlands,18705.0
New Zealand,1100.0
Nigeria,2045.0
Norway,605.0
Pakistan,0.0
Peru,0.0
Philippines,0.0
Poland,453.0
Portugal,115.0
Romania,252.0
Russia,400.0
Saudi Arabia,340.0
Senegal,300.0
Seychelles,75.0
Singapore,7457.0
South Africa,0.0
South Korea,395.0
Spain,575.0
Sweden,15259.0
Switzerland,362.0
Thailand,55.0
Turkey,0.0
UAE,0.0
Ukraine,50.0
United Arab Emirates,995.0
United Kingdom,20769.0
United States,448890.0
Uruguay,104.0
Vietnam,0.0
