industry,total_laid_off
AI,288.0
Aerospace,1472.0
Construction,3863.0
Consumer,70441.0
Crypto,13683.0
Data,10255.0
Education,19642.0
Energy,5416.0
Finance,49341.0
Fitness,9841.0
Food,48023.0
HR,10397.0
Hardware,53870.0
Healthcare,38011.0
Infrastructure,20614.0
Legal,966.0
Logistics,5372.0
Manufacturing,7350.0
Marketing,12666.0
Media,10581.0
Other,60636.0
Product,2108.0
Real Estate,19450.0
Recruiting,5170.0
Retail,71703.0
Sales,15260.0
Security,9948.0
Support,6381.0
Transportation,60668.0
Travel,23235.0
https://www.calcalistech.com/ctechnews/article/rysmrkfua,0.0
