industry,total_laid_off,percentage
AI,288.0,0.043198747236330146
Aerospace,1472.0,0.22079359698568743
Construction,3863.0,0.5794331964373034
Consumer,70441.0,10.565843590535874
Crypto,13683.0,2.0523904806760607
Data,10255.0,1.5382053920436307
Education,19642.0,2.9462145597777663
Energy,5416.0,0.8123764410832086
Finance,49341.0,7.400935372874187
Fitness,9841.0,1.476107192891406
Food,48023.0,7.203241106007925
HR,10397.0,1.5595047743615436
Hardware,53870.0,8.080265672295504
Healthcare,38011.0,5.701484656944949
Infrastructure,20614.0,3.0920103317003806
Legal,966.0,0.14489579802185737
Logistics,5372.0,0.8057766324776582
Manufacturing,7350.0,1.1024680284271755
Marketing,12666.0,1.8998449044977697
Media,10581.0,1.5871039739847543
Other,60636.0,9.09513624104901
Product,2108.0,0.3161908304659165
Real Estate,19450.0,2.9174153949535464
Recruiting,5170.0,0.7754775111521766
Retail,71703.0,10.75513810099507
Sales,15260.0,2.2889336209249933
Security,9948.0,1.492156727454904
Support,6381.0,0.9571222434549397
Transportation,60668.0,9.099936101853046
Travel,23235.0,3.4851489306810106
https://www.calcalistech.com/ctechnews/article/rysmrkfua,0.0,0.0
